Title,Year,Type,
Research on Maximum Delay of Time-sensitive Network Based on GCL Adaptive Adjustment,2023,Conference Proceedings,
Worst-Case Response Time Analysis for Best- Effort Traffic in an Ethernet-AVB Network,2021,Conference Proceedings,
Comparison of Time Sensitive Networking (TSN) and TTEthernet,2018,Conference Proceedings,
Comparison of AFDX and audio video bridging forwarding methods using network calculus approach,2017,Conference Proceedings,
Worst-Case Latency Analysis for IEEE 802.1Qbv Time Sensitive Networks Using Network Calculus,2018,Journal Article,
Improving Latency Analysis for Flexible Window-Based GCL Scheduling in TSN Networks by Integration of Consecutive Nodes Offsets,2021,Journal Article,
Quantitative Performance Comparison of Various Traffic Shapers in Time-Sensitive Networking,2022,Journal Article,
Latency Analysis of Multiple Classes of AVB Traffic in TSN With Standard Credit Behavior Using Network Calculus,2021,Journal Article,
Timing Analysis of AVB Traffic in TSN Networks Using Network Calculus,2018,Conference Proceedings,
Minimum Bandwidth Reservation for CBS in TSN With Real-Time QoS Guarantees,2024,Journal Article,
Analysis and modeling of asynchronous traffic shaping in time sensitive networks,2018,Conference Proceedings,
reTSN: Resilient and Efficient Time-Sensitive Network for Automotive In-Vehicle Communication,2023,Journal Article,
Improve Service Curve Using Non-overlapped Gate in Time Sensitive Network Switch,2021,English,Conference Proceedings
Simulative Assessments of Cyclic Queuing and Forwarding with Preemption in In-Vehicle Time-Sensitive Networking,2024,English,Conference Proceedings
General Framework for Routing Scheduling and Formal Timing Analysis in Deterministic Time-Aware Networks,2022,English,Conference Proceedings
End-to-end communication delay analysis of next-generation train control system based on cloud computing,2020,English,Conference Proceedings
Design and implementation of a frame preemption model without guard bands for time-sensitive networking,2024,English,Journal Article
Some Basic Properties of Length Rate Quotient,2023,English,Conference Proceedings
Delay optimization strategy based on aperiodic traffic in time-sensitive networking,2021,English,Conference Proceedings
Bounding the Upper Delays of the Tactile Internet Using Deterministic Network Calculus,2023,English,Journal Article
Deep learning to predict the feasibility of priority-based ethernet network configurations,2021,English,Journal Article
Improvements to Deep-Learning-based Feasibility Prediction of Switched Ethernet Network Configurations,2021,English,Conference Proceedings
Worst-case analysis of ethernet AVB in automotive system,2015,English,Conference Proceedings
Improving worst-case delay analysis for traffic of additional stream reservation class in ethernet-AVB network,2018,English,Journal Article
Network calculus-based latency for time-triggered traffic under flexible window-overlapping scheduling (Fwos) in a time-sensitive network (tsn),2021,English,Journal Article
A Feasibility Analysis Framework of Time-Sensitive Networking Using Real-Time Calculus,2019,English,Journal Article
Impact analysis of flow shaping in ethernet-AVB/TSN and AFDX from network calculus and simulation perspective,2017,English,Journal Article
On the performance of stream-based class-based time-aware shaping and frame preemption in TSN,2020,English,Conference Proceedings
Schedulability analysis of Time-Sensitive Networks with scheduled traffic and preemption support,2020,English,Journal Article
